,Rank,Title,Rating,Summary,Trailer,Year,Episodes,Main_Actor,Genres,Content_Rating,Tags,Users,Aired_Start,Aired_End
0,189,Thai Cave Rescue,8.7,The Limited Series is based on 2018’s world-famous event. Twelve boys from the same football team decided to spend an afternoon with their coach exploring the Tham Luang caves in northern Thailand. When heavy rainfall…,False,2022,6,Beam Papangkorn Lerkchaleampote ,  Drama  ,  G - All Ages ,"  Survival, Based On True Story, Rescue Mission, Brave Male Lead, Thai Mythology, Clever Male Lead, Co-produced, Biographical, Bilingual Supporting Character, Bilingual Female Lead   ",958,2022-09-22,2022-09-22
1,330,Project S: Skate Our Souls,8.6,"Boo, a student whose grades aren't promising, knows well that he falls short of his father's standards. Quietly, Boo has been suffering from depression for a long time. He doesn't eat or sleep well and has no friends,…",True,2017,8,James Teeradon Supapunpinyo ,"  Psychological,  Youth,  Drama,  Sports  ",  13+ - Teens 13 or older ,"  Skaters, Depression, Psychology, Self-harm, Friendship, Father-Son Relationship, Suicide, Doctor Female Lead, Skateboarding, High School   ",1692,2017-09-09,2017-09-09
2,349,Love Destiny,8.6,"This is a story where karma, merit, love destiny and a moon mantra combine to fling Kadesurang, a chubby archaeologist, into the body of another woman, Karakade, during the Ayutthaya era (300 years earlier). In the past,…",True,2018,15,Bella Ranee Campen ,"  Historical,  Comedy,  Romance,  Supernatural  ",  G - All Ages ,"  Sassy Female Lead, Time Travel, Transmigration, Soulmates, Fated Love, Eccentric Female Lead, Reincarnation, Strong Female Lead, Nice Male Lead, Hidden Identity   ",3080,2018-02-21,2018-02-21
3,382,The Gifted,8.6,"Ritdha Wittayakom High School has a ""Gifted Program."" The program offers special classes to a handful of ""special"" students chosen by the school administration. Incredibly, Pang, a tenth-year student from the lowest…",True,2018,13,Nanon Korapat Kirdpan ,"  Thriller,  Mystery,  Psychological,  Supernatural  ",  13+ - Teens 13 or older ,"  High School, Special Power, Multiple Mains, Adapted From A Novel, Corruption, Suspense, Hidden Talent, Teamwork, Friendship, Slight Romance   ",10248,2018-08-05,2018-08-05
4,391,Enigma,8.6,"There is something wrong with Fa's high school; strange events have been happening around her. In which way are they related to the new teacher, Ajin?

(Source: MyDramaList)",True,2023,4,Win Metawin Opas-iamkajorn ,"  Mystery,  Horror,  Youth,  Supernatural  ",  13+ - Teens 13 or older ,"  Teenager Female Lead, High School, Black Magic, Student Supporting Character, Student Female Lead, School Setting, Exorcist Male Lead, Teenager Supporting Character, Age Gap [Drama Life], Age Gap [Real Life]   ",2304,2023-07-15,2023-07-15
5,430,In Family We Trust,8.5,"This suspense drama revolves around the Jiraanans, a wealthy Thai-Chinese family that operates its own hotels in Bangkok and Pattaya. The drama follows the members of the family, which seem to enjoy a strong and unbreakable…",True,2018,18,Nappon Gomarachun ,"  Thriller,  Mystery,  Drama  ",  13+ - Teens 13 or older ,"  Huge Family, Lying, Murder, Bromance, Investigation, Suspense, Smart Male Lead, Jealous Female Lead, Family Conflict, Conflict   ",992,2018-09-14,2018-09-14
6,438,My School President,8.5,"Student body president Tinn has a secret crush on Gun, the head of the music club and lead singer of the middling band Chinzhilla. The son of the principal, Tinn is instructed to axe any clubs that don't boost their…",True,2022,12,Gemini Norawit Titicharoenrak ,"  Music,  Comedy,  Romance,  Youth  ",  13+ - Teens 13 or older ,"  Gay Romance, LGBTQ+, Healthy Mains’ Relationship, Club President Male Lead, Chasing A Dream, Secret Crush, Friendship, School Club, Band, Classmates' Relationship   ",16309,2022-12-02,2022-12-02
7,442,A Tale of Thousand Stars,8.5,"After a volunteer teacher Torfun dies in a tragic accident, her heart is transplanted into Tian. Tian learns about his donor’s life through a series of diary entries that reveal her secrets and interests. Included…",True,2021,10,Mix Sahaphap Wongratch ,"  Romance,  Drama  ",  13+ - Teens 13 or older ,"  Rural Life, Hardworking Male Lead, Heart Transplant, Character Development, Adapted From A Novel, LGBTQ+, Gay Romance, Strong Male Lead, Second Chance, Organ Transplantation   ",26353,2021-01-29,2021-01-29
8,452,Not Me,8.5,"Black and White are twins with a powerful connection. After their parents' separation, though, White’s father took him abroad, and their family effectively severed in two. It isn’t until fifteen years have passed…",True,2021,14,Gun Atthaphan Phunsawat ,"  Action,  Thriller,  Mystery,  Romance  ",  13+ - Teens 13 or older ,"  Social Commentary, Violence, Impersonation, LGBTQ+, Social Inequality, Hidden Identity, Gay Romance, Fight For Justice, Revenge, Political   ",25538,2021-12-12,2021-12-12
9,505,Girl From Nowhere,8.5,"A mysterious, clever girl named Nanno transfers to different schools, exposing the lies and misdeeds of the students and faculty at every turn.

(Source: Netflix)",True,2018,13,Kitty Chicha Amatayakul ,"  Mystery,  Psychological,  Drama,  Supernatural  ",  18+ Restricted (violence & profanity) ,"  Anthology, Death, High School, Calm Female Lead, Violence, Murder, Revenge, School Bullying, Rape, Suspense   ",16723,2018-08-08,2018-08-08
10,542,Bad Genius,8.5,What started from exam cheating in the classroom escalated to stealing a national test paper. These are not your everyday students. They're a reflection of the cheating that happens at every level in Thai society. Guaranteed…,True,2020,12,June Plearnpichaya Komalarajun ,"  Thriller,  Youth,  Drama  ",  15+ - Teens 15 or older ,"  Cheating, Poor Male Lead, Based On True Story, Slight Romance, Genius Female Lead, Genius Male Lead, Top Student, Strong Female Lead, Filmed Abroad, Theatre/Drama Club   ",1528,2020-08-03,2020-08-03
11,597,F4 Thailand: Boys Over Flowers,8.4,Gorya is a simple girl who works at a flower shop. She passes an exam and gets accepted into a prestigious and luxurious school attended by the wealthy. The school is ruled by an elite clique known as the F4 consisting…,True,2021,16,Tu Tontawan Tantivejakul ,"  Comedy,  Romance,  Youth,  Drama  ",  13+ - Teens 13 or older ,"  Strong Female Lead, Evil Parental Figure, Character Development, Enemies To Lovers, Adapted From A Manga, Friendship, Cyberbullying, Hardworking Female Lead, School Bullying, Rich Man/Poor Woman   ",15999,2021-12-18,2021-12-18
12,600,Happy Birthday,8.4,"Tonmai was born on the day that his sister died. His parents never celebrated his birthday and he had never received a birthday present. Then on his 17th birthday, his dad gave him his sister's room as a gift. In this…",True,2018,13,Push Puttichai Kasetsin ,"  Romance,  Drama,  Fantasy,  Supernatural  ",  G - All Ages ,"  Ghost-seeing Male Lead, Suicide, Family Relationship, Spirit Possession, Death, Ghost Female Lead, Brother-Sister Relationship, Flashback To Past, Hidden Past, Meet Again   ",1436,2018-10-07,2018-10-07
13,625,Kleun Cheewit,8.4,"Jeerawat is a hardworking woman, who is a famous model and actress. Her mother married a smarmy but rich man, who secretly lusts after her. After he attempts to drug Jeerawat, she manages to escape by driving away. Unfortunately,…",True,2017,15,Mark Prin Suparat ,"  Mystery,  Romance,  Drama,  Melodrama  ",  13+ - Teens 13 or older ,"  Strong Female Lead, Love/Hate Relationship, Misunderstanding, Revenge, Lack Of Communication, Sismance, Death, Entertainment Industry, Adapted From A Novel, Rich Female Lead   ",6807,2017-01-23,2017-01-23
14,632,Bad Buddy,8.4,"Ever since they were young, Pran and Pat's families had a deep and raging rivalry, trying to one-up each other on everything. This also extended to their sons. Comparing their sons' achievements and merits,—whether…",True,2021,12,Nanon Korapat Kirdpan ,"  Comedy,  Romance,  Youth  ",  13+ - Teens 13 or older ,"  Gay Romance, Rivals To Lovers, Rivalry, Rival Families, Secret Romance, Family Conflict, Adapted From A Novel, LGBTQ+, Enemies To Friends, University   ",33756,2021-10-29,2021-10-29
15,660,Project S: Side by Side,8.4,"Gym, an autistic teenager who was often bullied by his peers, decides to join the badminton team with his cousin Dong. However, Gym plays better than Dong, as Gym is able to control the dynamics of the game, leading…",True,2017,8,Tor Thanapob Leeratanakachorn ,"  Youth,  Sports,  Melodrama  ",  13+ - Teens 13 or older ,"  Badminton, Autism, Autistic Male Lead, Character Development, Sibling Rivalry, Mother-Son Relationship, Tearjerker, Bromance, Neurodevelopmental Disorder, Aunt-Nephew Relationship   ",1632,2017-07-15,2017-07-15
16,781,The Warp Effect,8.4,"Alex breaks the oath he made to his mother forbidding him from losing his virginity before turning eighteen, causing chaos he never could've anticipated. In 2011, seventeen-year-old Alex lacks self-confidence and his…",True,2022,12,New Thitipoom Techa-apaikhun ,"  Mystery,  Comedy,  Romance,  Supernatural  ",  13+ - Teens 13 or older ,"  Time Travel, Feminist Message, Sex Education, LGBTQ+, Sexual Content, Multiple Couples, Nonbinary Supporting Character, Friendship, Virgin Male Lead, Friends With Benefits   ",3862,2022-12-12,2022-12-12
17,797,Moonlight Chicken,8.4,"Jim is an ordinary guy running a Hainanese chicken rice diner. One night, he meets breezy Wen when he stays past closing drunk. Brought together by fate that night, intangible feelings arise. Neither can stop thinking…",True,2023,8,Earth Pirapat Watthanasetsiri ,"  Food,  Romance,  Life  ",  15+ - Teens 15 or older ,"  Gay Male Lead, Uncle-Nephew Relationship, Poor Male Lead, Sign Language, LGBTQ+, Restaurant Setting, One-night Stand, Gay Romance, Deaf Supporting Character, Age Gap [Drama Life]   ",12695,2023-02-08,2023-02-08
18,806,Full House,8.4,"Aom is a writer who got swindled out of her house during her trip to Korea. She finds out that her house was sold to Mike and in an attempt to get her possessions back, she enters a contract marriage with Mike for one…",True,2014,20,Aom Sushar Manaying ,"  Comedy,  Romance  ",  Not Yet Rated ,"  Cohabitation, Marriage Of Convenience, Contract Relationship, Naive Female Lead, Rich Man/Poor Woman, Filmed Abroad, Famous Lead/Common Lead, Clingy Male Lead, Famous Male Lead, Bickering Mains' Relationship   ",10447,2014-01-11,2014-01-11
19,858,P.S. I Hate You,8.3,"A secret tape of Phanthiwa is exposed at her wedding to Phureenat. Humiliated by the incident, she resolves to commit suicide. It was only her five-person friend group who knew Phantiwa's secret. Meena tries to find…",True,2022,18,Pearwah Nichaphat Chatchaipholrat ,"  Mystery,  Romance,  Drama  ",  13+ - Teens 13 or older ,"  Female Centered Plot, Betrayed By A Friend, Long Time Friends, Friends To Enemies, Female Rivalry, Infidelity, Adapted From A Novel, Sexual Assault, Sismance, Murder   ",1126,2022-08-01,2022-08-01
20,880,Daughters,8.3,"Five teenagers suffered neglect from their families. They were entangled in various problems such as rape, homophobia, prostitution, domestic abuse, and drug addiction. One day, all of them decided to flee their house…",True,2020,24,Kitty Chicha Amatayakul ,"  Life,  Youth,  Drama  ",  13+ - Teens 13 or older ,"  1990s, Found Family, Drug Usage, Dysfunctional Family, Rape, Homophobia, Prostitution, Domestic Abuse, Child Abuse, MDL Remake   ",415,2020-12-04,2020-12-04
21,916,Who Are You,8.3,"After enduring vicious bullying, an orphaned student, Mind, attempts to take her life in hopes of escaping her problems. Miraculously, she survives with memory loss and wakes up with a new life as she takes on the identity…",True,2020,18,Namtan Tipnaree Weerawatnodom ,"  Mystery,  Romance,  Youth,  Drama  ",  13+ - Teens 13 or older ,"  School Bullying, School Problems, Identity Swap, Strict Mother, Hidden Identity, Mother-Daughter Relationship, Suicide, Investigation, Mother-Son Relationship, Father-Son Relationship   ",1443,2020-05-02,2020-05-02
22,954,The Gifted Graduation,8.3,"Two years have passed and the new school year begins again. With it comes the resurrection of the Gifted program, and a hidden threat from the Ministry led by Darin, a new teacher. Time, a promising new student and member…",True,2020,13,Nanon Korapat Kirdpan ,"  Thriller,  Mystery,  Psychological,  Supernatural  ",  13+ - Teens 13 or older ,"  High School, Multiple Mains, Friendship, Sci-Fi, Rebellion, Slight Romance, Teamwork, Power Struggle, Generational Conflict, Rival Groups   ",5384,2020-09-06,2020-09-06
23,950,To the Moon and Back,8.3,"Doctor Purim, a famous neurosurgeon, is born into a rich and well-known family. His father is a famous professor of economics and his mother is a former famous actress. With his perfect family background, his father…",True,2023,21,Toey Jarinporn Joonkiat ,"  Romance,  Life  ",  G - All Ages ,"  Doctor Male Lead, Cheerful Female Lead, Healthy Mains’ Relationship, Supportive Parent, Nice Female Lead, LGBTQ+, Smart Male Lead, Abusive Parents, Transgender Character, Nice Male Lead   ",448,2023-06-06,2023-06-06
24,964,Hua Jai Sila,8.3,"Tor is the love child of a mistress and a wealthy hi-so man. After his mother dies from neglect, Tor is forced to live with his father’s family. Abused by his stepmother and stepbrother, he turns to the girl-next-door…",True,2019,27,Tor Thanapob Leeratanakachorn ,"  Romance,  Crime,  Drama,  Melodrama  ",  13+ - Teens 13 or older ,"  Hidden Identity, Double Identity, Revenge, Evil Stepmother, Steamy Kiss, First Love, Aggressive Male Lead, Forced Kiss, Slap And Kiss, Healing   ",6458,2019-03-04,2019-03-04
25,1002,Home School,8.3,"Home School is a boarding school in the middle of a remote forest. Every three years, the school selects new students who meet their criteria, each generation comprising no more than thirteen students. The students spend…",True,2023,18,Nappon Gomarachun ,"  Thriller,  Mystery,  Youth  ",  13+ - Teens 13 or older ,"  Student Female Lead, Student Male Lead, Teenager Female Lead, Teenager Male Lead, Boarding School, Multiple Mains, Autistic Male Lead, Suspense, High School, Student Supporting Character   ",2053,2023-06-09,2023-06-09
26,1017,Triage,8.3,"Third-year emergency medicine resident Tin has to cope with a deluge of different patients every day. Up until the eighteenth, that is. Tin's life is transformed when university student Tol's car is overturned and he's…",True,2022,13,Tae Darvid Kreepolrerk ,"  Thriller,  Romance,  Medical,  Fantasy  ",  13+ - Teens 13 or older ,"  Bisexual Male Lead, Time Loop, Doctor Male Lead, LGBTQ+, Gay Romance, Time Altering, Suspense, Doctor Supporting Character, Hospital Setting, Investigation   ",7939,2022-04-18,2022-04-18
27,1032,"To Sir, With Love",8.3,"The Five Dragon Guild is under the leadership of Jao Sua Song. He's skilled and in control in business, but things in the family have become chaotic. By his main wife Li, he has his eldest son Thian. He has a secondary…",True,2022,17,Film Thanapat Kawila ,"  Historical,  Mystery,  Romance,  Drama  ",  13+ - Teens 13 or older ,"  Half-brothers' Relationship, Graphic Violence, Servant Supporting Character, Heir Male Lead, Gay Male Lead, Supportive Brother, Closeted, Controlling Parent, Attempted Murder, Secret   ",2252,2022-10-03,2022-10-03
28,1047,My Secret Bride,8.3,"Suam is a mischievous girl who grew up in the slums. She develops a crush on Danurut, a good cop, the first time she meets him due to his good looks and kindness. They met previously at the police station when Danurut…",True,2019,18,Great Warintorn Panhakarn ,"  Action,  Comedy,  Romance,  Crime  ",  Not Yet Rated ,"  Fake Marriage, Contract Relationship, Rich Man/Poor Woman, Sassy Female Lead, Poor Female Lead, Ghost-seeing Female Lead, Marriage Of Convenience, Tragic Past, Multiple Couples, Abusive Father   ",2281,2019-11-08,2019-11-08
29,1070,The Eclipse,8.3,"The country's leading all-boys school, Suppalo, is strictly governed. Rumour has it that a curse will punish students who act out, a curse that grows stronger as the solar eclipse nears. But where there are rules, there…",True,2022,12,First Kanaphan Puitrakul ,"  Mystery,  Romance,  Youth  ",  13+ - Teens 13 or older ,"  Gay Male Lead, Gay Romance, Enemies To Lovers, Gay Supporting Character, All-Boys School, LGBTQ+, Male Centered Plot, High School, Investigation, Homophobia   ",19205,2022-08-12,2022-08-12
30,1117,Manner of Death,8.3,"Dr. Bunnakit is a medical examiner based at a provincial hospital. One day, after carrying out an autopsy on the body of a woman who had seemingly hanged herself, Dr. Bunnakit rules out suicide as his findings point…",True,2020,14,Max Nattapol Diloknawarit ,"  Thriller,  Mystery,  Romance  ",  18+ Restricted (violence & profanity) ,"  Strong Male Lead, Investigation, Gay Romance, LGBTQ+, Death, Murder, Sexual Abuse, Adapted From A Novel, Steamy Kiss, Doctor Male Lead   ",20374,2020-11-30,2020-11-30
31,1252,Until We Meet Again,8.2,"Thirty years ago, Korn and Intouch were university students in Bangkok. Intouch entered Korn's life despite knowing that he was the son of one of the most influential crime bosses in Bangkok. At first, Korn pushed Intouch…",True,2019,17,Fluke Natouch Siripongthon ,"  Food,  Romance,  Youth,  Drama  ",  15+ - Teens 15 or older ,"  Fated Love, Reincarnated Lovers, Soulmates, Adapted From A Novel, Reincarnation, LGBTQ+, Friendship, Cooking, University, Crybaby Male Lead   ",32896,2019-11-09,2019-11-09
32,1256,My Forever Sunshine,8.2,"The story about Paeng, a girl with a tragic life. After losing her father, she has to go live at Artit's house. The only way for her to be able to stay at this house is to be with him. But no one expected that her approaching…",True,2020,19,Mark Prin Suparat ,"  Mystery,  Comedy,  Romance,  Drama  ",  15+ - Teens 15 or older ,"  Female Chases Male First, Countryside Male Lead, Clingy Female Lead, Mean Male Lead, Possessive Male Lead, Character Development, Childhood Trauma, Love/Hate Relationship, Enemies To Lovers, Jealous Male Lead   ",3049,2020-11-19,2020-11-19
33,1284,Love Mechanics: Director's Cut,8.2,"When a junior woos Vee's friend, Vee, swearing to love only one in life, has to cut ties with Mark. But God plays a joke on them and something happened between Vee and Mark. Mark chooses to tuck away and draws an end…",False,2022,3,Yin Anan Wong ,"  Romance,  Youth,  Drama  ",  18+ Restricted (violence & profanity) ,"  Student Supporting Character, Student Male Lead, School Setting, Young Adult Male Lead, Gay Male Lead, Gay Romance, Dubious Consent, University, LGBTQ+, Miniseries   ",910,2022-07-08,2022-07-08
34,1297,Midnight Museum,8.2,"Dome, a barista at a café on the verge of closure, receives an unexpected job offer. The offer comes from a café regular, Khatha, who orders coffee he never drinks. The job is at an odd museum open only after sunset.…",True,2023,10,Tor Thanapob Leeratanakachorn ,"  Mystery,  Horror,  Fantasy,  Supernatural  ",  13+ - Teens 13 or older ,"  Curse, Black Magic, Bromance, Violence, Museum Curator Male Lead, Dark Fantasy, Ghost, Investigation, Barista Male Lead, Supernatural Being   ",2983,2023-03-06,2023-03-06
35,1331,I Told Sunset About You,8.2,"Teh and Oh-aew were best friends until a boyhood line of reasoning turned them into rivals. Years later as they're preparing for university admissions, both pursuing interests in the field of Communication Arts, the…",True,2020,5,Billkin Putthipong Assaratanakul ,"  Romance,  Youth,  Drama  ",  15+ - Teens 15 or older ,"  Jealous Male Lead, Friends To Lovers, Jealousy, LGBTQ+, Hardworking Male Lead, Heartbreak, Meet Again, Coming Of Age, Gay Romance, Coming Out   ",23599,2020-10-22,2020-10-22
36,1334,Suparburoot Jorm Jon: Maturot Lohgan,8.2,"To prove himself to his father so he can lead the next pillage and fulfil his plans, Seua Pha, a bandit had to embark on one of his father's daily robberies. The quest was to steal the most valuable possession from Khun…",True,2019,16,Michael Pattaradet Sa-nguankwamdee ,"  Action,  Romance,  Crime,  Supernatural  ",  Not Yet Rated ,"  Kidnapping, Stockholm Syndrome, Older Man/Younger Woman, Gun Violence, Magical Power, Badass Male Lead, Smart Female Lead, Sassy Female Lead, Vengeance, Love At First Sight   ",944,2019-09-27,2019-09-27
37,1338,Kiss Me,8.2,"Taliw, a cute, lively and clumsy girl, has had a crush on popular genius Tenten, who is a new student with an IQ of 200. Tenten just returned from Japan with his family. How will Taliw deal with her feelings towards…",True,2015,20,Aom Sushar Manaying ,"  Comedy,  Romance,  Drama  ",  13+ - Teens 13 or older ,"  Student Female Lead, Student Male Lead, School Setting, Childhood Friends' Relationship, University, Family Relationship, High School, Cold Man/Warm Woman, Female Chases Male First, Student Supporting Character   ",7447,2015-10-05,2015-10-05
38,1375,He's Coming to Me,8.2,"On his birthday, Med, the kind-hearted heir of a rich family, dies mysteriously and becomes a ghost. For twenty years, he waits in the graveyard for someone to visit so that he is able to reincarnate. However, his plan…",True,2019,8,Singto Prachaya Ruangroj ,"  Mystery,  Comedy,  Romance,  Supernatural  ",  15+ - Teens 15 or older ,"  Ghost-seeing Male Lead, Nice Male Lead, Tragic Past, Adapted From A Novel, Gay Male Lead, Investigation, LGBTQ+, Interspecies Romance, Ghost Male Lead, Gay Romance   ",13768,2019-02-28,2019-02-28
39,1400,"I'm Tee, Me Too",8.2,"Six guys—each named Tee and each with his own idiosyncrasies—find themselves residing under one roof, every day learning not just about one another, but themselves as well. 

(Source: Soju on MyDramaList)",True,2020,8,Krist Perawat Sangpotirat ,"  Comedy,  Youth,  Drama,  Sitcom  ",  13+ - Teens 13 or older ,"  Different Personalities, Phobia, Bromance, Grief, Multiple Mains, Friendship, Housemates' Relationship, Miniseries, Childhood Trauma, Father-Son Relationship   ",6419,2020-09-18,2020-09-18
40,1463,Love Mechanics,8.2,"When a junior woos Vee's friend, Bar, swearing to love only one in life, Bar has to cut ties with Mark. But God plays a joke on them and something happened between Vee and Mark. Mark chooses to tuck away and draws an…",True,2022,10,Yin Anan Wong ,"  Romance,  Youth,  Drama  ",  18+ Restricted (violence & profanity) ,"  Infidelity, Gay Romance, Dubious Consent, Gay Male Lead, University, LGBTQ+, Enemies To Lovers, Trust Issues, Poor Man/Rich Man, Adapted From A Novel   ",13316,2022-06-18,2022-06-18
41,1572,Game Sanaeha,8.1,"Within two years so much happened: Muanchanok studied abroad, her parents got divorced, and her father is getting remarried to a much younger former beauty queen. This broken family transformed Nok into a jealous, ill-tempered…",True,2018,14,James Jirayu Tangsrisuk ,"  Romance,  Drama  ",  15+ - Teens 15 or older ,"  Rich Female Lead, Spoiled Female Lead, Nice Male Lead, Love/Hate Relationship, Male Chases Female First, Misunderstanding, Marriage, Jealousy, Slap And Kiss, Rich Woman/Poor Man   ",2561,2018-06-25,2018-06-25
42,1592,The Comments,8.1,"Papang, student president and outstanding all-around student and perfect in every way, kills herself in the middle of her live stream. She is copying Gina, her favourite actress, the second female idol to be cyberbullied…",True,2021,5,Aye Sarunchana Apisamaimongkol ,"  Mystery,  Youth,  Drama  ",  13+ - Teens 13 or older ,"  Investigation, Friendship, Social Media, Revenge, Entertainment Industry, Cyberbullying, Miniseries, School Bullying, Suicide, Tearjerker   ",596,2021-05-23,2021-05-23
43,1599,Love in the Air,8.1,"When clouds in the sky and falling rain tease the two close friends in trouble, Rain and Sky, it takes them to meet Payu and Prapai, who are not only cunning saviours but also guys making storms in the two best friends'…",True,2022,13,Boss Chaikamon Sermsongwittaya ,"  Comedy,  Romance,  Life,  Drama  ",  18+ Restricted (violence & profanity) ,"  Gay Romance, Auto Mechanic Male Lead, Bisexual Male Lead, Sexual Content, Love/Hate Relationship, Naive Male Lead, University, Playboy Male Lead, Motorcycle Racing, Architect Male Lead   ",24204,2022-08-18,2022-08-18
44,1604,Let's Fight Ghost,8.1,A cohabitation comedy about a ghost of a high school girl who has been dead for 5 years and an exorcist college boy with the ability to see and hear ghosts. What he’s discovered over the years is that he can touch…,True,2021,16,Saint Suppapong Udomkaewkanjana ,"  Horror,  Comedy,  Romance,  Supernatural  ",  15+ - Teens 15 or older ,"  Ghost-seeing Male Lead, Strong Female Lead, Ghost, Amnesia, Adapted From A Webtoon, Skilled Fighter, Strong Male Lead, Interspecies Romance, Nice Male Lead, Hardworking Male Lead   ",1415,2021-03-03,2021-03-03
45,1617,I Promised You the Moon,8.1,"Teh and Oh-aew, now in a blissful relationship for over a year, bid farewell to Phuket and head to Bangkok for their university lives. This time, however, as days pass Teh begins to feel differently towards Oh-aew as…",True,2021,5,Billkin Putthipong Assaratanakul ,"  Romance,  Life,  Youth,  Drama  ",  15+ - Teens 15 or older ,"  Coming Of Age, University, LGBTQ+, Performing Arts, Gay Relationship, Tearjerker, College To Working Life, Bisexual Male Lead, Steamy Kiss, Time Skip   ",11966,2021-05-27,2021-05-27
46,1632,The Crown Princess,8.1,"The main heroine - a princess of a small country,  comes into danger after her coronation. To protect her they send her to Thailand, where the main hero - a navy man- becomes her bodyguard.",True,2018,12,Yaya Urassaya Sperbund ,"  Action,  Military,  Romance,  Drama  ",  G - All Ages ,"  Badass Female Lead, Princess Female Lead, Tough Female Lead, Badass Male Lead, Noble Woman/Common Man, Royalty, Sibling Rivalry, Calm Male Lead, Strong Female Lead, Nice Male Lead   ",2764,2018-05-14,2018-05-14
47,1712,My Only 12%,8.1,Cake and Seeiw have been friends as far as they can remember. Cake is very outgoing and has a lot of friends while Seeiw is very shy and barely speaks to people he's not used to being around. Despite their different…,True,2022,14,Earth Katsamonnat Namwirote ,"  Romance,  Life,  Youth  ",  13+ - Teens 13 or older ,"  Childhood Friends' Relationship, LGBTQ+, Coming Of Age, Slow Burn Romance, Teenager Male Lead, Friendship, Adapted From A Novel, Gay Male Lead, Teenager Supporting Character, Age Gap [Real Life]   ",7886,2022-08-12,2022-08-12
48,1756,KinnPorsche,8.1,"The second son of a Mafia boss, Kinn Theerapanyakul, is fleeing from an enemy when he meets Porsche, an enterprising young bartender. Porsche agrees to help defend Kinn from his attackers for a price. Porsche's martial…",True,2022,14,Mile Phakphum Romsaithong ,"  Action,  Romance,  Crime,  Drama  ",  18+ Restricted (violence & profanity) ,"  Gay Romance, Mafia, LGBTQ+, Violence, Sexual Content, Adapted From A Novel, Multiple Couples, Rivalry, Bodyguard Male Lead, Gang Leader Male Lead   ",33704,2022-04-02,2022-04-02
