,Rank,Title,Rating,Summary,Trailer,Year,Episodes,Main_Actor,Genres,Content_Rating,Tags,Users,Aired_Start,Aired_End
49,1785,Be My Favorite,8.1,Botkawi has forever been in love with Pearmai. His life is forever changed when a musical crystal ball he bought as an important gift for Pearmai transports him back in time to the age of eighteen. Everything turns upside-down.…,True,2023,12,Krist Perawat Sangpotirat ,"  Romance,  Life,  Supernatural  ",  13+ - Teens 13 or older ,"  LGBTQ+, Gay Romance, Time Travel, Adapted From A Novel, Poor Man/Rich Man, Bisexual Male Lead, Love Triangle, Gay Male Lead, Insecure Male Lead, Time Altering   ",5751,2023-05-26,2023-05-26
50,1770,Mama Gogo,8.1,"Former 90’s singer Annie inherits from an uncle an old, once popular host bar called Papa Go Go. With renovations underway, Annie must now hire her all-star lineup of handsome, talented, and charming male hosts. With…",True,2022,12,Cris Horwang️️️️️️ ,"  Business,  Comedy,  Romance,  Drama  ",  Not Yet Rated ,"  Mother-Daughter Relationship, Stripper Supporting Character, Bar Owner Female Lead, Hardworking Female Lead, Rivalry, Older Woman/Younger Man, Enemies To Lovers, Friendship, Money-Obsession, Debt   ",1543,2022-06-12,2022-06-12
51,1842,Lovely Writer,8.1,"Gene is a professional writer whose publisher suggests he try his hand at a new genre—Y. The resulting novel is a huge commercial success. So successful, in fact, that it's being adapted for TV. When the series begins…",True,2021,12,Up Poompat Iam-samang ,"  Comedy,  Romance,  Drama  ",  15+ - Teens 15 or older ,"  Entertainment Industry, Social Media, Cohabitation, Nice Male Lead, LGBTQ+, Adapted From A Novel, Fan Culture, Hidden Agenda, Calm Male Lead, Friends To Lovers   ",20949,2021-02-24,2021-02-24
52,1868,Likit Haeng Jan,8.1,"On the night of a full moon, two people from two different worlds that look alike switch places. From the past is Duangkaew, a conservative and quiet girl, whereas from the present is Opal, a girl who is tomboyish and…",True,2019,14,Namtarn Pichukkana Wongsarattanasin ,"  Historical,  Comedy,  Romance,  Supernatural  ",  Not Yet Rated ,"  Doppelganger, Time Travel, Strong Female Lead, Adapted From A Novel, Secondary Couple, Past And Present, Different Timelines, Identity Swap, Tomboy Female Lead, Doctor Male Lead   ",695,2019-08-30,2019-08-30
53,1874,Girl From Nowhere Season 2,8.1,"A mysterious, clever girl named Nanno transfers to different schools, exposing the lies and misdeeds of the students and faculty at every turn.

(Source: Netflix)",True,2021,8,Kitty Chicha Amatayakul ,"  Mystery,  Horror,  Psychological,  Drama  ",  18+ Restricted (violence & profanity) ,"  Gore, Revenge, Anthology, Strong Female Lead, Murder, High School, Suspense, Antiheroine Female Lead, Blood, Investigation   ",9523,2021-05-07,2021-05-07
54,1878,Project S: SPIKE,8.1,"Theppanya High School has an underdog volleyball team that reached the final round of Thailand's biggest competition last year, but eventually lost to old champion St. Sebastian High. From the disappointment, the team…",True,2017,8,Oab Oabnithi Wiwattanawarang ,"  Youth,  Sports,  Melodrama  ",  Not Yet Rated ,"  Teamwork, Volleyball, Rivalry, Bromance, Character Development, Enemies To Friends, Father-Son Relationship, High School, Unrequited Love, Friends To Enemies   ",1630,2017-05-20,2017-05-20
55,1880,A Gift to the People You Hate,8.1,"The shop of a certain person wearing a mask sells gifts for people that you hate. There are four levels of gifts; making the receiver ashamed, scaring the receiver, hurting the receiver, and making the receiver die.…",True,2019,10,Toni Rakkaen ,"  Thriller,  Mystery,  Horror,  Drama  ",  15+ - Teens 15 or older ,"  Multiple Mains, Morality, Revenge, Adapted From A Comic, Hatred, Investigation, Suspense, Murder, Father-Daughter Relationship, Brother-Sister Relationship   ",1089,2019-10-18,2019-10-18
56,1886,Khun Mae Suam Roy,8.1,"Sina, a professional stunt woman, returns from America to find her identical twin sister, Siriya, a mother of a child from her already-married lover Pipop and disabled from her waist below after a mysterious shooting…",True,2018,31,Bua Nalinthip Sakulongumpai ,"  Mystery,  Comedy,  Romance,  Drama  ",  13+ - Teens 13 or older ,"  Strong Female Lead, Badass Female Lead, Cohabitation, Investigation, Hidden Identity, Impersonation, Fake Marriage, Death, Male Chases Female First, Nice Male Lead   ",1769,2018-02-15,2018-02-15
57,1900,Padiwaradda,8.1,"To show gratitude to her adoptive father, Rin Rapee accepts to disguise herself as his real daughter and marry Saran, to keep the promise their fathers had made in the past. Saran is a cold-hearted guy who suffers from…",True,2016,14,James Jirayu Tangsrisuk ,"  Action,  Historical,  Romance,  Drama  ",  G - All Ages ,"  Arranged Marriage, Ex-girlfriend Comes Back, Slow Burn Romance, Poor Male Lead, Supportive Mother-in-Law, Arranged Relationship, Love Triangle, Hidden Identity, Birth Secret, Calm Female Lead   ",2010,2016-01-13,2016-01-13
58,1953,The Love Proposal,8.0,"Treenut got to know Time because of an accident that happened to Treenut’s student. This impressed Time and he came to see her more often. However, Time was afraid to tell Treenut that he loved her because he still…",True,2022,15,Fern Nopjira Lerkkajornnamkul ,"  Romance,  Drama,  Family  ",  13+ - Teens 13 or older ,"  Heir Male Lead, Marriage Of Convenience, Family Secret, Evil Ex-boyfriend, Family Conflict, LGBTQ+, Love Triangle   ",953,2022-03-23,2022-03-23
59,1945,Leh Nangfah,8.0,"Teepob and Lallalit ""Beauty"" grew up together but he hates her. So when she comes to him for help to regain power over her family's company, he pranks her by sending her to do the lowest jobs. Lallalit is a spoiled,…",True,2014,28,Vill Wannarot Sonthichai ,"  Comedy,  Romance,  Fantasy  ",  Not Yet Rated ,"  Transformation, Rich Female Lead, Spoiled Female Lead, Airhead Female Lead, Rich Male Lead, Orphan Female Lead, Curse, Childhood Friends' Relationship, Nice Male Lead, Revenge   ",1189,2014-04-07,2014-04-07
60,1996,Bad Romeo,8.0,"Privileged Saikim meets poor garage owner Kaokla. The two get to know one another and then don't meet again for another seven years. However, Kaokla is now Carl Raman, the adopted son and business heir of millionaire…",False,2022,17,Yaya Urassaya Sperbund ,"  Romance,  Drama,  Melodrama  ",  G - All Ages ,"  Auto Mechanic Male Lead, Heiress Female Lead, Cunning Protagonist, Manipulative Supporting Character, Crybaby Female Lead, Disapproving Parent, Lovers Separated, Time Skip, Forbidden Love, Poor Male Lead   ",1299,2022-07-20,2022-07-20
61,2041,Nueng Dao Fah Diew,8.0,"During the reign of King Ekkathat in the Ayutthaya Kingdom, Mang Mao was the daughter of Ming, a rich man who was the owner of a paper factory. Mang Mao was also famous in her own right for being mischievous considering…",True,2018,17,Taew Natapohn Tameeruks ,"  Action,  Historical,  Romance,  Political  ",  G - All Ages ,"  Palace Setting, Ayutthaya Period, Historical Fiction, Spoiled Female Lead, Strong Male Lead, Eunuch, Smart Female Lead, Power Struggle, Hidden Identity, Calm Male Lead   ",478,2018-04-25,2018-04-25
62,2048,Thong EK: The Herbal Master,8.0,A romantic comedy set during the reign of Rama 5 (Chulalongkorn). Thong In is an experienced doctor who has treated many people. He has a grandson named Thong Ake who wants to become a traditional doctor. He also studies…,True,2019,14,Mario Maurer ,"  Historical,  Comedy,  Romance,  Medical  ",  Not Yet Rated ,"  Love Triangle, King Rama V, Rattanakosin Kingdom, Historical Fiction, Secondary Couple, Sassy Female Lead, Smart Male Lead, Death, Black Magic, Male Chases Female First   ",617,2019-01-31,2019-01-31
63,2067,Blacklist,8.0,"Akeanan is an outstanding school in all aspects: education, sports… and secrets. Traffic comes to Akeanan to look for his sister Fah, who disappeared months prior and with neither the police nor the school finding…",True,2019,12,Nanon Korapat Kirdpan ,"  Mystery,  Youth,  Drama  ",  15+ - Teens 15 or older ,"  Secret Organization, Multiple Mains, High School, Investigation, Bromance, Adapted From A Novel, Male Centered Plot, Brother-Sister Relationship, Smart Male Lead, Hidden Identity   ",3376,2019-10-13,2019-10-13
64,2103,Remember You,8.0,"A genius detective teams up with a colleague to investigate a case that hits close to home, but the duo becomes entangled in a cat-and-mouse game.

(Source: Netflix)",True,2021,16,Petch Paopetch Charoensook ,"  Action,  Thriller,  Mystery,  Drama  ",  15+ - Teens 15 or older ,"  Death, Tragic Past, Murder, Investigation, Suspense, Multiple Timelines, Cold Male Lead, Dissociative Amnesia, Long Lost Sibling, Childhood Acquaintance   ",695,2021-08-16,2021-08-16
65,2158,Sleepless Society: Insomnia,8.0,"Aya is a young female model that has always had a recurring dream: She always dreams of seeing her mother kill someone in a house, which is located on the island she used to live in when she was a child. These dreams…",True,2019,13,Aokbab Chutimon Chuengcharoensukying ,"  Thriller,  Mystery,  Psychological,  Drama  ",  Not Yet Rated ,"  Sexual Assault, Insomnia, Rape, Murder, Gaslighting, Strong Female Lead, Sismance, Investigation, Suspense, Death   ",410,2019-11-06,2019-11-06
66,2171,Rivalry,8.0,"A story of the battle between two families in the business world, which started from the parent's generation and transcends into the younger generation. And perhaps... this is where it will end? (Source: Thaidramatic_update;…",False,2022,20,Alek Teeradetch Metawarayut ,"  Business,  Romance,  Drama,  Family  ",  Not Yet Rated ,"  Rival Families, Smart Female Lead, Rivals To Lovers, Multiple Mains, Smart Male Lead, Ex-girlfriend Comes Back, Love Square, Strong Female Lead   ",599,2022-01-26,2022-01-26
67,2179,SOTUS,8.0,"The ""Gear"" is one of the engineering mechanical devices in the cogwheel system (as in a clock). Having one signifies that one is a student of the Faculty of Engineering. However, to get one, all engineering freshmen…",True,2016,15,Krist Perawat Sangpotirat ,"  Comedy,  Romance,  Youth,  Drama  ",  15+ - Teens 15 or older ,"  LGBTQ+, Hazing, Adapted From A Novel, Gay Romance, Enemies To Lovers, Multiple Couples, Bisexual Male Lead, Cold Man/Warm Man, Cold Male Lead, Aggressive Male Lead   ",28171,2016-08-20,2016-08-20
68,2182,"Hak Lai, My Lady",8.0,"After stealing the key to her mother’s safe box, Lalin heads out to find her biological father, but gets attacked along the way. Here she meets Pi, the owner of Huen Hak Phaeng Farm, whom she had an issue with prior.…",True,2023,17,Euro Yotsawat Tawapee ,"  Mystery,  Romance,  Drama  ",  13+ - Teens 13 or older ,"  Searching For Biological Father, Farmer Male Lead, Spoiled Female Lead, Enemies To Lovers, Investigation   ",363,2023-01-15,2023-01-15
69,2199,Occupied Heart,8.0,"On her way to sign a business contract, Rattawan was kidnapped along with her son by two men who took her to an island and tried to rape and kill her. However, she was saved by the owner of the island, Naboon. Both did…",True,2018,16,Weir Sukollawat Kanarot ,"  Action,  Romance,  Drama  ",  18+ Restricted (violence & profanity) ,"  Attempted Murder, Strong Male Lead, Failing Marriage, Nice Female Lead, Skinship, Nice Male Lead, Ex-wife Comes Back, Slow Burn Story, Secondary Couple, Smart Female Lead   ",600,2018-04-28,2018-04-28
70,2254,Ra Raerng Fai,8.0,"Yada's father frames Chakrit's father for murder and has him arrested. Years later, Chakrit wants revenge on Yada's family. He starts by seducing Yada's sister, then abandoning her on their wedding day, embarrassing…",True,2017,14,Ken Theeradeth Wongpuapan ,"  Romance,  Drama  ",  15+ - Teens 15 or older ,"  Revenge, Slap And Kiss, Fake Kisses, Enemies To Lovers, Forced Marriage, Strong Female Lead, Mafia, Controlling  Male Lead, Aggressive Male Lead, Adapted From A Novel   ",1000,2017-12-04,2017-12-04
71,2258,U-Prince: The Crazy Artist,8.0,"Mel B is dumped by her boyfriend Theo. The same day, she meets Hippy, a rock band's singer. He wants her Beatles t-shirt but as an exchange for it, he must pretend to be her boyfriend for five days.",True,2017,4,Kun Kunchanuj Kengkarnka ,"  Music,  Comedy,  Romance,  Youth  ",  G - All Ages ,"  Opposites Attract, Nice Male Lead, Contract Relationship, Character Development, Singing, Male Chases Female First, Rock'N'Roll, Web Series, Heartbreak, Adapted From A Novel   ",1835,2017-04-09,2017-04-09
72,2284,Never Let Me Go,8.0,Nuengdiao is the heir to a prestigious family. His status has forced him to grow up isolated with no room for imperfection. Then his father is shot to death right in front of him. Now he and his mother's lives are in…,True,2022,12,Pond Naravit Lertratkosum ,"  Action,  Romance,  Youth  ",  13+ - Teens 13 or older ,"  School Setting, LGBTQ+, High School, Bodyguard Male Lead, Poor Man/Rich Man, Death Of A Father, Student Male Lead, Gay Romance, Friendship, Bilingual Male Lead   ",11995,2022-12-13,2022-12-13
73,2280,Laws of Attraction,8.0,"Charn is a clever and ruthless lawyer inclined to accept high-paying and high-profile cases that will bring him renown. On one occasion, he's taken off a case as it's gaining widespread interest. Having lost face and…",False,2023,8,Film Thanapat Kawila ,"  Law,  Romance,  Drama  ",  G - All Ages ,"  Martial Artist Male Lead, Morally Ambiguous Male Lead, Lawyer Male Lead, Gore, Money-Hungry Male Lead, Flirty Male Lead, Enemies To Lovers, Supportive Grandmother, Dropout Male Lead, Nightclub Owner Supporting Character   ",1289,2023-07-15,2023-07-15
74,2327,Vice Versa,8.0,"Talay wakes up in the body of a man named Tess and reencounters Puen, a famous actor who is now in the body of Tun following an accident. The two have Phuwadol, a nurse who helps people from the same universe they left…",True,2022,12,Sea Tawinan Anukoolprasert ,"  Romance,  Youth,  Drama,  Fantasy  ",  13+ - Teens 13 or older ,"  Body Swap, Alternate Universe, Hidden Identity, LGBTQ+, Adapted From A Novel, Friends To Lovers, Transmigration, Gay Male Lead, Gay Romance, Friendship   ",12478,2022-07-16,2022-07-16
75,2305,Good Old Days,8.0,"In an antique shop, the value of each item is the story behind them. People who sell their belongings here can reminisce on their lives, and buyers see their value hidden within. Six stories about memories, love, dreams…",True,2022,12,Lee Thanat Lowkhunsombat ,"  Romance,  Life,  Drama,  Melodrama  ",  13+ - Teens 13 or older ,"  Anthology, Multiple Mains, Chasing A Dream, Regret, Flashback To Past, Antiques, Adapted From A Comic, Multiple Couples, Return To Hometown, Gay Male Lead   ",412,2022-08-10,2022-08-10
76,2358,SOTUS S,8.0,"Fast forward 2 years later, Kongpob is now the head hazer in his faculty, while Arthit works at the Ocean Electric Company. During Kongpob's final year, he needs to find an internship company, and requests to work alongside…",True,2017,13,Singto Prachaya Ruangroj ,"  Romance,  Youth,  Drama  ",  15+ - Teens 15 or older ,"  LGBTQ+, Multiple Couples, Intern Male Lead, Gay Romance, Cold Male Lead, Aggressive Male Lead, Nice Male Lead, Student Male Lead, University, Hazing   ",18360,2017-12-09,2017-12-09
77,2384,Khaen Rak Salap Chata,7.9,"Wat is a famous celebrity who is dating a famous model named Ginney. Tet is a famous pilot who is in a relationship with a doctor named Kulanji. But one day, the body of Wat and Tet have switched. As Tet and Wat have…",True,2021,16,Alek Teeradetch Metawarayut ,"  Mystery,  Romance,  Supernatural  ",  15+ - Teens 15 or older ,"  Body Swap, Hidden Identity, Selfish Male Lead, Nice Female Lead, Nice Male Lead, Strong Male Lead, Multiple Couples, Attempted Murder, Love Square, Strong Female Lead   ",609,2021-06-12,2021-06-12
78,2394,Sapai Import,7.9,"Lisa is a rich, spoiled girl who returned from her studies in England to find her parents were in debt. She had to work to repay that debt. And Don's mother helped her. Don is the grandson of a very famous farm owner.…",True,2020,17,Mik Thongraya ,"  Action,  Comedy,  Romance,  Drama  ",  Not Yet Rated ,"  Forced Marriage, Rich Male Lead, Badass Female Lead, Mother-Son Relationship, Nice Male Lead, Cohabitation, Bickering Mains' Relationship, Farm Setting, Married Life, Sisters' Relationship   ",1337,2020-01-28,2020-01-28
79,2410,46 Days,7.9,"This series tells the story of Ying Ying, an unpopular net idol who is about to go down on her luck after being caught as a liar by her fans in a video clip. Apart from helping herself to survive, she also needs to help…",True,2021,18,Baifern Pimchanok Luevisadpaibul ,"  Comedy,  Romance  ",  G - All Ages ,"  Sismance, Female Rivalry, Nice Male Lead, First Love, Female Chases Male First, Sassy Female Lead, Multiple Couples, Doctor Male Lead, Cheerful Female Lead, Childhood Acquaintance   ",1300,2021-07-07,2021-07-07
80,2428,Put Your Head on My Shoulder,7.9,"Prapai, an accounting graduate who dreams of working for an advertising agency, has to live with Pupaa, a gifted physics student, and many funny stories happened between them. Spending time together, they gradually walk…",True,2021,20,New Thitipoom Techa-apaikhun ,"  Comedy,  Romance,  Youth,  Drama  ",  Not Yet Rated ,"  Smart Male Lead, Cohabitation, Nice Female Lead, Calm Male Lead, Nice Male Lead, Hardworking Female Lead, University, Male Chases Female First, Multiple Couples, Idol Actor   ",1812,2021-09-26,2021-09-26
81,2446,Dark Blue Kiss,7.9,"The continuation of Kao, Pete, Sun, and Mork's story. While Kao and Pete's relationship has grown stronger, they are still hiding it from most. Kao is closeted from his mother, and the fear of her finding him out looms…",True,2019,12,Tay Tawan Vihokratana ,"  Comedy,  Romance,  Youth  ",  13+ - Teens 13 or older ,"  LGBTQ+, Possessive Male Lead, Jealousy, Multiple Couples, Secret Relationship, Hardworking Male Lead, Misunderstanding, Aggressive Male Lead, Clingy Male Lead, Love Triangle   ",20245,2019-10-12,2019-10-12
82,2450,55:15 Never Too Late,7.9,"How many of us remember what our dreams were when we were children? What our hopes and aspirations were? How many of us grew up and realized that all the wonderous, innocent dreams that we had were probably not going…",True,2021,16,Nanon Korapat Kirdpan ,"  Drama,  Sci-Fi,  Fantasy  ",  13+ - Teens 13 or older ,"  Multiple Mains, High School, Second Chance, LGBTQ+, Cancer, Becoming Young, Transformation, Student Supporting Character, Student Female Lead, Student Male Lead   ",1571,2021-12-06,2021-12-06
83,2483,Tunnel,7.9,A detective jumps to 30 years into future while chasing a killer through a tunnel. The murders which stopped 30 years ago are going to start again. Can the detective find the killer and return to his original time or…,False,2019,16,Top Todsapol Maisuk ,"  Thriller,  Mystery,  Psychological,  Sci-Fi  ",  Not Yet Rated ,"  Time Travel, Investigation, Suspense, Nice Male Lead, MDL Remake, Detective Fiction, Detective Male Lead, Serial Killings, Death, Murder   ",215,2019-09-09,2019-09-09
84,2491,Nee Ruk Nai Krong Fai,7.9,"On her seventh birthday, Chalita's entire family was killed. Kawin/Kevin was given the option to slay three people in order to protect one. His guilt drove him to distance himself from her. In her youth, Chalita is adopted…",True,2019,18,Alek Teeradetch Metawarayut ,"  Action,  Romance,  Drama  ",  Not Yet Rated ,"  Mafia, Bisexual Character, Childhood Friends' Relationship, Protective Male Lead, Male Lead Saves Female Lead, LGBTQ+, Multiple Couples, Nice Male Lead, Adapted From A Novel, Friendship   ",474,2019-06-15,2019-06-15
85,2531,Flash Marriage,7.9,"After a one-night stand with Pokpong, a male dancer Lalin meets at her friend's bachelorette party, Lalin decides to hire him. The job is simple; Pokpong is to marry Lalin for a few months so she can prove to her family…",True,2022,17,Tono Phakin Khamwilaisak ,"  Comedy,  Romance  ",  Not Yet Rated ,"  Contract Relationship, Hidden Identity, Protective Male Lead, Fake Relationship, Family Feud, Attempted Murder, Disapproving Parent, Scheme, Fake Marriage, One-night Stand   ",799,2022-08-02,2022-08-02
86,2540,You Are My Heartbeat,7.9,"Sira is a hardworking businessman who really hates dirt and lies but has to deal with Keetika, a tricky designer who doesn't have a very good relationship with her mother, Parin, because she left her father for Papop,…",True,2022,20,Mai Davika Hoorne ,"  Business,  Romance,  Drama  ",  13+ - Teens 13 or older ,"  Cohabitation, Bickering Mains' Relationship, Workplace Setting, Adapted From A Web Novel, Businessman Male Lead, Fashion Industry, Plagiarism, Family Conflict, Workplace Romance, Secondary Couple   ",920,2022-03-02,2022-03-02
87,2566,3 Will Be Free,7.9,"Neo is a stripper who is running away from the loan shark Thana and his gang, after having an affair with Thana's wife Vanika. One day, the criminals find him in the bar where he works. In attempting to escape, he ends…",True,2019,10,Mild Lapassalan Jiravechsoontornkul ,"  Action,  Thriller,  Romance  ",  18+ Restricted (violence & profanity) ,"  Strong Female Lead, Threesome, Bisexual Male Lead, Revenge, Murder, LGBTQ+, Violence, Death, Transgender Supporting Character, Polyamory   ",7402,2019-08-09,2019-08-09
88,2588,Girl Next Room: Richy Rich,7.9,"Duchess, also known as Daeng Lek, is a newly rich university student and is given to ostentatiousness. She seeks approval from the exclusive parts of society from which she was barred when she was poor. She happens to…",True,2020,5,Mild Lapassalan Jiravechsoontornkul ,"  Comedy,  Romance,  Youth,  Drama  ",  G - All Ages ,"  Rags To Riches, Love/Hate Relationship, Naive Female Lead, Male Chases Female First, Playful Male Lead, Rich Female Lead, Hidden Identity, Miniseries, Adapted From A Novel, Love Triangle   ",1613,2020-05-17,2020-05-17
89,2613,Theory of Love,7.9,"Third is a filmology major and a member of the Savage Team along with his best friends Two, Bone, and Khai, but he has a secret. Third has been secretly in love with Khai for years. For three years, he has kept his love…",True,2019,12,Off Jumpol Adulkittiporn ,"  Comedy,  Romance,  Youth,  Drama  ",  15+ - Teens 15 or older ,"  Gay Romance, Heartbreak, Adapted From A Novel, Unrequited Love, LGBTQ+, Crybaby Male Lead, Playboy Male Lead, Secret Crush, Bisexual Male Lead, Inner Monologue   ",30240,2019-06-01,2019-06-01
90,2618,Piang Chai Khon Nee Mai Chai Poo Wised,7.9,"Sattawat is a doctor whose mother has a gambling addiction, and Anusaniya's family owns a wealthy company. Sattawat's mother owes a lot of money to Anusaniya's company and in order to erase the debt, Sattawat's mother…",True,2016,15,James Ma ,"  Romance,  Drama  ",  Not Yet Rated ,"  Male Chases Female First, Adapted From A Novel, Rich Woman/Poor Man, Nice Male Lead, Spoiled Female Lead, Sweet Male Lead, Doctor Male Lead, Supportive Male Lead, Uncle-Niece Relationship, Secondary Couple   ",1538,2016-04-21,2016-04-21
91,2649,My Lovely Bodyguard,7.9,"Saraphi, a jobless stuntwoman, accidentally becomes the bodyguard of Thewan and his nephew due to her incredible martial arts skills. As Saraphi and Thewan learn to work together to protect his nephew from those out…",True,2022,12,Vill Wannarot Sonthichai ,"  Action,  Mystery,  Romance,  Drama  ",  Not Yet Rated ,"  Greed, Bodyguard Female Lead, Rich Male Lead, Attempted Murder, Uncle-Nephew Relationship, Murder, Stuntwoman Female Lead, Gun Violence, Death, Death Of A Sister   ",516,2022-05-02,2022-05-02
92,2658,Jark Sadtroo Soo Hua Jai,7.9,"Jett is a handsome man forced to become a hired gunman because of his dark past and problems. And one day, he is hired to kill a woman. It was suppose to be a simple job, however, it is complicated by the fact that his…",True,2020,19,Aum Patchrapa Chaichua ,"  Action,  Romance,  Drama  ",  15+ - Teens 15 or older ,"  Spoiled Female Lead, Forced Kiss, Love/Hate Relationship, Rich Female Lead, Skilled Killer, Steamy Kiss, Male Chases Female First, Slap And Kiss, Cold Female Lead, Warm Man/Cold Woman   ",488,2020-10-30,2020-10-30
93,2669,Khun Chai Phutthiphat,7.9,"Khun Chai Phutthiphat is a young doctor who has no time for love. Despite the fact that his grandmothers are trying to matchmake him to the second Thewaphrom daughter Maratee, his younger brothers are interested to find…",True,2013,10,James Jirayu Tangsrisuk ,"  Action,  Historical,  Romance,  Drama  ",  Not Yet Rated ,"  Rich Man/Poor Woman, Adapted From A Novel, Forbidden Love, Love At First Sight, Male Chases Female First, Family Pressure, Character Development, Rich Male Lead, Love Triangle, Concubinage   ",1080,2013-05-03,2013-05-03
94,2670,U-Prince: The Badly Politics,7.9,"Cherrymilk, a young fashion lover, is forced to study Political Science by an order from her father. During a class, her teacher asked her to do a project but ended up being punished by her father. To survive, she looks…",True,2017,4,Lee Thanat Lowkhunsombat ,"  Comedy,  Romance,  Youth,  Drama  ",  G - All Ages ,"  Royalty, Hidden Identity, Male Chases Female First, Adapted From A Novel, Student Supporting Character, Student Female Lead, Student Male Lead, School Setting, Bickering Mains' Relationship, Fashion Designer Female Lead   ",2372,2017-05-07,2017-05-07
95,2693,180 Degree Longitude Passes Through Us,7.9,"Sasiwimol is an extremely successful director. She has a close, friend-like relationship with her teenage son Wang. What will she do when Wang experiences his first love with Inthawut, her old friend? Love, relationships,…",True,2022,8,Pond Ponlawit Ketprapakorn ,"  Romance,  Drama,  Melodrama  ",  13+ - Teens 13 or older ,"  Age Gap [Drama Life], Mother-Son Relationship, Gay Romance, Older Man/Younger Man, Inner Monologue, LGBTQ+, Age Gap [Real Life], Miniseries, Gay Male Lead, Death Of A Father   ",4784,2022-08-14,2022-08-14
96,2757,Blackout,7.9,"After a night of partying, a group of young adults wake up in a mysterious bar. One of their friends is hurt. What are they not remembering and why can't they leave?

(Source: TVDb)",False,2021,8,Praew Narupornkamol Chaisang ,"  Thriller,  Mystery,  Drama  ",  Not Yet Rated ,"  Filmed Vertically, Miniseries, Investigation, Suspense, Strong Female Lead, Aggressive Male Lead, Rich Male Lead, Birthday Party, Hatred, Amnesia   ",359,2021-02-01,2021-02-01
97,2761,Payakorn Sorn Ruk,7.9,"Rosita gets into a car accident and suddenly gets a talent where she sees the future when she touches a rose. She becomes a famous fortune teller. One day, she makes a prediction in public to reporters that Theeruth,…",True,2020,13,James Jirayu Tangsrisuk ,"  Mystery,  Comedy,  Romance,  Crime  ",  G - All Ages ,"  Precognition, Male Lead Saves Female Lead, Fate, Investigation, Famous Male Lead, Nice Male Lead, Adapted From A Novel, Cohabitation, Gun Violence, Attempted Murder   ",958,2020-06-15,2020-06-15
98,2789,The Cupids Series: Kammathep Sorn Kol,7.9,"Milin is an accountant who economizes. She signs a contract with seven other girls at the Cupid Hut that she will have to find a boyfriend in one year. She's always waiting for Mr. Right, but that going to change when…",True,2017,7,Nychaa Nuttanicha Dungwattanawanich ,"  Romance,  Drama  ",  Not Yet Rated ,"  Accountant Female Lead, Violence Against Women, Flashback To Past, Orphan Female Lead, Weak Female Lead, Poor Female Lead, Debt, Miniseries, Death, Male Chases Female First   ",581,2017-06-03,2017-06-03
99,2813,The Miracle of Teddy Bear,7.9,"Taohu is a giant white teddy bear and has been Nut's object of comfort for ten years. However, he isn’t an ordinary teddy bear, he has the ability to communicate with other objects and items in the house. One day,…",True,2022,16,Inn Sarin Ronnakiat ,"  Mystery,  Romance,  Drama,  Fantasy  ",  13+ - Teens 13 or older ,"  Gay Romance, LGBTQ+, Mother-Son Relationship, Homophobia, Magical Object, Father-Son Relationship, Investigation, Coming Out, Cohabitation, Adapted From A Novel   ",4270,2022-03-27,2022-03-27
